"filename", "language", "JavaScript", "YAML", "Markdown", "Ruby", "Gemfile", "JSON", "HTML", "Draw.io", "erb", "SCSS", "CSS", "comment", "blank", "total"
"/Users/tsuchiyakazuhiro/projects/original-app-36951/app/views/layouts/mailer.html.erb", "erb", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"/Users/tsuchiyakazuhiro/projects/original-app-36951/app/views/layouts/mailer.text.erb", "erb", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"/Users/tsuchiyakazuhiro/projects/original-app-36951/app/views/players/index.html.erb", "erb", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 3, 5
"/Users/tsuchiyakazuhiro/projects/original-app-36951/app/views/players/new.html.erb", "erb", 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 7, 50
"/Users/tsuchiyakazuhiro/projects/original-app-36951/app/views/purchases/index.html.erb", "erb", 0, 0, 0, 0, 0, 0, 0, 0, 121, 0, 0, 3, 11, 135
"/Users/tsuchiyakazuhiro/projects/original-app-36951/app/views/teams/_under_bar.html.erb", "erb", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"/Users/tsuchiyakazuhiro/projects/original-app-36951/app/views/teams/_up_bar.html.erb", "erb", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 23
"/Users/tsuchiyakazuhiro/projects/original-app-36951/app/views/teams/index.html.erb", "erb", 0, 0, 0, 0, 0, 0, 0, 0, 148, 0, 0, 0, 11, 159
"/Users/tsuchiyakazuhiro/projects/original-app-36951/app/views/teams/new.html.erb", "erb", 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 7, 52
"/Users/tsuchiyakazuhiro/projects/original-app-36951/app/views/teams/show.html.erb", "erb", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 3, 20
"/Users/tsuchiyakazuhiro/projects/original-app-36951/babel.config.js", "JavaScript", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 73
"/Users/tsuchiyakazuhiro/projects/original-app-36951/config.ru", "Ruby", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3, 6
"/Users/tsuchiyakazuhiro/projects/original-app-36951/config/application.rb", "Ruby", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 7, 4, 21
"/Users/tsuchiyakazuhiro/projects/original-app-36951/config/boot.rb", "Ruby", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"/Users/tsuchiyakazuhiro/projects/original-app-36951/config/cable.yml", "YAML", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/Users/tsuchiyakazuhiro/projects/original-app-36951/config/database.yml", "YAML", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 4, 55
"/Users/tsuchiyakazuhiro/projects/original-app-36951/config/environment.rb", "Ruby", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 2, 6
"/Users/tsuchiyakazuhiro/projects/original-app-36951/config/environments/development.rb", "Ruby", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 21, 17, 63
"/Users/tsuchiyakazuhiro/projects/original-app-36951/config/environments/production.rb", "Ruby", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 66, 26, 113
"/Users/tsuchiyakazuhiro/projects/original-app-36951/config/environments/test.rb", "Ruby", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 19, 13, 49
"/Users/tsuchiyakazuhiro/projects/original-app-36951/config/initializers/application_controller_renderer.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 9
"/Users/tsuchiyakazuhiro/projects/original-app-36951/config/initializers/assets.rb", "Ruby", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 9, 4, 15
"/Users/tsuchiyakazuhiro/projects/original-app-36951/config/initializers/backtrace_silencers.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 8
"/Users/tsuchiyakazuhiro/projects/original-app-36951/config/initializers/content_security_policy.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 7, 31
"/Users/tsuchiyakazuhiro/projects/original-app-36951/config/initializers/cookies_serializer.rb", "Ruby", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 2, 6
"/Users/tsuchiyakazuhiro/projects/original-app-36951/config/initializers/devise.rb", "Ruby", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 243, 55, 312
"/Users/tsuchiyakazuhiro/projects/original-app-36951/config/initializers/filter_parameter_logging.rb", "Ruby", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 2, 5
"/Users/tsuchiyakazuhiro/projects/original-app-36951/config/initializers/inflections.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 3, 17
"/Users/tsuchiyakazuhiro/projects/original-app-36951/config/initializers/mime_types.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 5
"/Users/tsuchiyakazuhiro/projects/original-app-36951/config/initializers/webpacker.rb", "Ruby", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/tsuchiyakazuhiro/projects/original-app-36951/config/initializers/wrap_parameters.rb", "Ruby", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 8, 4, 15
"/Users/tsuchiyakazuhiro/projects/original-app-36951/config/locales/devise.en.yml", "YAML", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 66
"/Users/tsuchiyakazuhiro/projects/original-app-36951/config/locales/devise.ja.yml", "YAML", 0, 163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 163
"/Users/tsuchiyakazuhiro/projects/original-app-36951/config/locales/en.yml", "YAML", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 2, 34
"/Users/tsuchiyakazuhiro/projects/original-app-36951/config/locales/ja.yml", "YAML", 0, 206, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 206
"/Users/tsuchiyakazuhiro/projects/original-app-36951/config/puma.rb", "Ruby", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 25, 7, 39
"/Users/tsuchiyakazuhiro/projects/original-app-36951/config/routes.rb", "Ruby", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/tsuchiyakazuhiro/projects/original-app-36951/config/spring.rb", "Ruby", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/tsuchiyakazuhiro/projects/original-app-36951/config/storage.yml", "YAML", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 6, 35
"/Users/tsuchiyakazuhiro/projects/original-app-36951/config/webpack/development.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"/Users/tsuchiyakazuhiro/projects/original-app-36951/config/webpack/environment.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/tsuchiyakazuhiro/projects/original-app-36951/config/webpack/production.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"/Users/tsuchiyakazuhiro/projects/original-app-36951/config/webpack/test.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"/Users/tsuchiyakazuhiro/projects/original-app-36951/config/webpacker.yml", "YAML", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 17, 97
"/Users/tsuchiyakazuhiro/projects/original-app-36951/db/migrate/20220210041236_devise_create_users.rb", "Ruby", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 21, 10, 48
